First_line,Author,References_or_purpose,TiS,AHB,AoV,All_together_books,NCH,Iona_books,CH4,UMH,VU_MV,StJ_StS,Lutheran_sources,Evangelical_Lutheran_Worship,Alleluia_Aotearoa_Faith_Forever_Singing,StF_FwS,Hymns_for_a_Pilgrim_People_Congregational,Presbyterian_Hymnal,Gather_2nd_Ed,Gather_comprehensive,Gather_Comprehensive_2,Ritual_Song,CP_Canada,CP_England,Column_24,Chalice,Zion_Still_Sings,The_Source,URW,Column_29,StF,Column_31,MP,Comments,Column_39,Column_40
Abana in Heaven / Abana Alathi Fi Ssama,(Laila Constantine),,,,,,,,,,,,,,,,,,,,,,,,,,PfAS1049,,,,,,,"I love this and think it would be very well learned and remembered. It will need to be taught, but it would be worth it, particularly if your congregation says the Lord's Prayer weekly. It can also be sung in Arabic (the word Abana is ""Father""). ",,
Abba abba Father,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lau932,,,,
Abba Abba I Put My Life in Your Hands / Pongo Mi Vidaen tus manos,(Haas),Ps 31,,,,,,,,,,,,,,,,,,GC42,GC(II)31,,,,,,,,,,,,,Spanish and English lyrics for this simple version of Psalm 31.,,
Abba Father let me be yours and yours alone,Dave Bilborough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StF439,,MP003,,,
Abba Father send your Spirit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lau293,,,,
Abba Matua we ask you,(Hurd),Matt 14:13-21; John 6:1-21; ,,,,,,,,,,,,,HiOS003,,,,,,,,,,,,,,,,,,,An acrostic hymn.,,
Abide O Dearest Jesus,"CHRISTUS, DER IST MEIN LEBEN",1 Co 15:55; Ps 102:25-26,,,,,,,,,,,,ELW539,,,HPP467,PH543,,,,,,,,,,,,,,,,"Yes, this is fine. Evening service specific.",,
Abide with me; fast falls the eventide,(Lyte),1 Co 15:51-58; 1 Co 7:29-31; Job 14:1-14; Ps 23; John 6:56-69; Lk 24:13-35; Matt 26:14-27:66; Matt 28:16-20; Ps 90:10:00; Matt 28:20; MARK 6:30–44; Mark 24:29; Lk 24:29; Rm 8:37-39; 1 Co 15:55,TiS 586,AHB 502,AoV2-128,,NCH099,,CH580,UMH700,VU436,,LBW272,ELW629,,A&M010,,GtG836,,,,,CP024,CP(E) 10,W&R521,Cha636,,Srce2,,82Hml-662,StF141,Lau907,MP004,"This is not a favourite of mine, but it fits the reading well and many versions (but not all!) are quite inclusive. ",EVENTIDE,
Abide with us our Saviour,(Stegmann),,,,,,,,,,,,LBW263,,,,,,,,,,,,,,,,,,,,,,,
Above all ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Srce2-1,,,,,,,,
Above The Clash Of Creeds,(Kendrick),,,,,,,,,,,,,,,,,,,,,,,,,,,Srce3,,,,,,,,
